city_id,city,region,latitude,longitude
1,Bad Homburg vor der Höhe,Hessen,,
2,Berlin,Berlin,52.508891244186046,13.411902406976743
3,Blankenfelde-Mahlow,Brandenburg,,
4,Cologne,,50.939284492957746,6.96669876056338
5,Frankfurt,Hessen,50.12235755645161,8.659714693548386
6,Hamburg,Hamburg,53.554994491124255,9.991020692307693
7,Hanau,Hessen,,
8,Munich,,48.14461594117647,11.562751338235294
9,Neu-Isenburg,Hessen,,
10,"Quickborn, Kreis Pinneberg",Schleswig-Holstein,,
11,Sulzbach (Taunus),Hessen,,
12,Teltow,Brandenburg,,
13,Wedel,Schleswig-Holstein,,
