offer_id,title,job,city_id,company_id,date_id,source,contract_time,category,salary_min,salary_max,salary_avg,has_salary
1,Data-Analyst,Data-Analyst/in,2,1,20260521,Bundesagentur,,,,,,False
2,Data Analyst Data Analytics,Business-Analyst/in,2,2,20260722,Bundesagentur,,,,,,False
3,Big Data Analyst,Data Engineer,2,3,20250613,Bundesagentur,,,,,,False
4,Senior Data Analyst (Kineto) (m/f/d),Data-Analyst/in,2,4,20260707,Bundesagentur,,,,,,False
5,Senior Marketing Data Analyst (all genders),Data-Analyst/in,2,5,20260728,Bundesagentur,,,,,,False
6,Business Data Analyst,Data Scientist,2,6,20260622,Bundesagentur,,,,,,False
7,Big Data Analyst,Informatiker/in,2,7,20250211,Bundesagentur,,,,,,False
8,Data Analyst (JetBrains AI) (m/f/d),Datenbankadministrator/in,2,4,20260707,Bundesagentur,,,,,,False
9,Data Scientist & Data Analyst,Data Scientist,2,6,20260506,Bundesagentur,,,,,,False
10,Analystin Energiewirtschaft Strom,Energiemanager/in,2,8,20260730,Bundesagentur,,,,,,False
11,Tech Analyst - Payments & Fraud,Data-Analyst/in,2,9,20260611,Bundesagentur,,,,,,False
12,Principal Product Analyst (all genders),Data-Analyst/in,2,10,20260721,Bundesagentur,,,,,,False
13,Datenanalyst / Data Engineer,Data-Analyst/in,2,11,20260803,Bundesagentur,,,,,,False
14,Tech Analyst - Broker Signup Flows,Data-Analyst/in,2,9,20260326,Bundesagentur,,,,,,False
15,Tech Analyst - Application Lifecycle Management,Data-Analyst/in,2,9,20260326,Bundesagentur,,,,,,False
16,SAP Data Quality Analyst - Datenbereinigung & Migration,Business-Analyst/in,2,12,20260707,Bundesagentur,,,,,,False
17,Big Data Analytics,Data-Analyst/in,2,7,20250211,Bundesagentur,,,,,,False
18,"Junior Pricing Analyst - Data & Operations, Hauptverwaltung Groß Kienitz",Data-Analyst/in,3,13,20260709,Bundesagentur,,,,,,False
19,Product Owner:in Data Business Intelligence,Data Engineer,2,14,20260714,Bundesagentur,,,,,,False
20,GBO Key User - Master Data with focus on S/4HANA  Migration (m/f/d),Data-Analyst/in,2,15,20260720,Bundesagentur,,,,,,False
21,Payroll Projects and Compliance Analyst (Relocation to Amsterdam) - m/w/d,Data-Warehouse-Analyst/in,2,16,20260728,Bundesagentur,,,,,,False
22,Werkstudent SEO & AI Search Visibility,Data-Analyst/in,12,17,20260730,Bundesagentur,,,,,,False
23,"Senior GRC Analyst (m,f,x)",Softwareentwickler/in,2,18,20260619,Bundesagentur,,,,,,False
24,Risk Analyst - Client Underwriting (m/f/d),Informationssicherheitsbeauftragte/r,2,19,20260716,Bundesagentur,,,,,,False
25,Referent:in Strategisches Medizincontrolling (DRG Analyst),Controller/in,2,20,20250915,Bundesagentur,,,,,,False
26,Senior Business & Data Analyst,Data-Analyst/in,6,21,20260703,Bundesagentur,,,,,,False
27,Market Data Analyst,Bankkaufmann/-frau,6,22,20260609,Bundesagentur,,,,,,False
28,Data Analyst Experimentation,Business-Analyst/in,6,23,20260703,Bundesagentur,,,,,,False
29,Data Analyst (gn),Wirtschaftsinformatiker/in (Hochschule),6,24,20260713,Bundesagentur,,,,,,False
30,Data Analyst (all genders),Data Scientist,6,25,20260714,Bundesagentur,,,,,,False
31,(Junior) Data Analyst Campaigning,Business-Analyst/in,6,26,20260703,Bundesagentur,,,,,,False
32,Big Data Analyst,Informatiker/in,6,7,20250211,Bundesagentur,,,,,,False
33,Cabin Trend Research & Data Analyst Airbus,Data-Analyst/in,6,27,20260729,Bundesagentur,,,,,,False
34,Data Analyst (m|w|d),Data-Analyst/in,6,28,20260710,Bundesagentur,,,,,,False
