title;job;company;city;region;postal_code;date
Data-Analyst (m/w/d);Data-Analyst/in;Dipl.-Ing. Gennadi Rouditser D.I.R.A. Arbeitsvermittlung & Unternehmensberatung;Berlin;Berlin;10117;2026-05-21
Data-Analyst (m/w/d);Data-Analyst/in;Dipl.-Ing. Gennadi Rouditser D.I.R.A. Arbeitsvermittlung & Unternehmensberatung;Berlin;Berlin;10119;2026-05-21
Data Analyst;Datenbankentwickler/in;Zenjob SE;Berlin;Berlin;10405;2026-06-08
BI / Data Analyst (m/w/d);Data-Analyst/in;Legalhero GmbH;Berlin;Berlin;10785;2026-05-26
Data Analyst im Online-Shop (m/w/d);Data-Analyst/in;Pinguin Druck GmbH;Berlin;Berlin;10405;2026-03-17
Junior Data Analyst militärische Fahrzeuge (m/w/d);Data-Analyst/in;IABG Industrieanlagen Betriebs-GmbH;Berlin;Berlin;Not provided;2026-06-10
Big Data Analyst (w/m/d);Data Engineer;EMOS Software GmbH;Berlin;Berlin;Not provided;2025-06-13
(Junior) Data Analyst (m/w/d) Data Analytics;Business-Analyst/in;Syncwork;Berlin;Berlin;10178;2026-05-19
(Junior) Data Analyst (m/w/d) Data Analytics;Wirtschaftsingenieur/in;Syncwork;Berlin;Berlin;10178;2026-05-16
Big Data Analyst;Informatiker/in;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-02-11
Data Analyst - BI Plattform (m/w/d) ;Betriebswirt/in (Fachschule) - Projektmanagement;Bundesdruckerei Gruppe GmbH;Berlin;Berlin;10969;2026-03-27
Tech Analyst - Payments & Fraud;Data-Analyst/in;DKB Service GmbH;Berlin;Berlin;10117;2026-06-11
Data Scientist & Data Analyst (f/m/d);Data Scientist;Siemens Energy Global GmbH & Co. KG;Berlin;Berlin;10553;2026-05-06
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d);Data-Analyst/in;EY Strategy & Transactions GmbH;Berlin;Berlin;10117;2026-03-11
Big Data Senior Analyst / Senior Business Analyst (m/w/d);Business-Analyst/in;umaris GmbH & Co. KG;Berlin;Berlin;10115;2026-05-13
Tech Analyst - Broker Signup Flows;Data-Analyst/in;DKB Service GmbH;Berlin;Berlin;10117;2026-03-26
Tech Analyst - Application Lifecycle Management;Data-Analyst/in;DKB Service GmbH;Berlin;Berlin;10117;2026-03-26
Big Data Analytics;Data-Analyst/in;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-02-11
Datenmigrations-Analyst für Praxissoftware (m/w/d),Bamberg,Berlin;IT-Systemanalytiker/in;medatixx;Berlin;Berlin;10829;2026-05-19
Data Scientist / Asset Analyst Power Grid (m/w/d);Leiter/in - Asset Management;50Hertz Transmission GmbH AD Berlin;Berlin;Berlin;10557;2026-05-21
Senior Pricing Analyst (Global Pricing);Bachelor Professional - IT (Datenanalyse);Delivery Hero SE;Berlin;Berlin;10117;2026-04-10
Digital Portfolio Analyst:in;Digital-Analyst/in;BEW Berliner Energie und Wärme GmbH;Berlin;Berlin;10179;2026-06-01
NTT DATA Deutschland SE: Senior Data Strategy Consultant (w/m/x);Business-Intelligence-Consultant;NTT DATA Deutschland SE;Berlin;Berlin;10117;2026-05-27
NTT DATA Business Solutions Global Managed Services GmbH: Automation Business Process Analyst (f/m/d;Prozessmanager/in - RPA;NTT DATA Business Solutions Global Managed Services GmbH;Berlin;Berlin;10625;2026-06-11
Consultant (m/w/d) Geschäftsprozesse und Digitalisierung;Data-Consultant;Vilo-Personal GmbH Leipziger P;Berlin;Berlin;10557;2026-06-03
Senior Data Analyst (m/w/d);Data-Analyst/in;XING;Hamburg;Hamburg;20459;2026-05-27
Senior Data Analyst (m/w/d);Data-Analyst/in;TKMS GmbH;Hamburg;Hamburg;20457;2026-04-27
Market Data Analyst (m/w/d);Bankkaufmann/-frau;Bankpower GmbH;Hamburg;Hamburg;20095;2026-06-09
Data Analyst Client Delivery (m/w/d);Data-Analyst/in;DIS AG Germany;Hamburg;Hamburg;20537;2026-05-30
Data Analyst (w/m/d),Hamburg,Hamburg;Data-Warehouse-Analyst/in;HFG Service GmbH;Hamburg;Hamburg;20359;2026-05-14
Junior Data Analyst militärische Fahrzeuge (m/w/d);Data-Analyst/in;IABG Industrieanlagen Betriebs-GmbH;Hamburg;Hamburg;Not provided;2026-06-10
Data Analyst (m/w/d) Experimentation;Business-Analyst/in;bonprix;Hamburg;Hamburg;22085;2026-04-15
