company_id,company
1,Dipl.-Ing. Gennadi Rouditser D.I.R.A. Arbeitsvermittlung & Unternehmensberatung
2,Syncwork
3,EMOS Software GmbH
4,JetBrains GmbH
5,denkwerk GmbH
6,Siemens Energy Global GmbH & Co. KG
7,alfatraining Bildungszentrum GmbH
8,50Hertz Transmission GmbH AD Berlin
9,DKB Service GmbH
10,Zalando SE
11,Bertrandt AG
12,Hays Professional Solutions GmbH Standort Dortmund
13,Getränke Hoffmann Gruppe KG
14,aconium GmbH Hauptsitz Berlin
15,KWS SAAT SE & Co. KGaA
16,Tesla Germany GmbH
17,Verti Versicherung AG
18,HelloFresh SE
19,Riverty GmbH
20,Helios Verwaltung Ost GmbH
21,Seier GmbH
22,Bankpower GmbH
23,bonprix
24,The Quality Group Gmbh
25,Nect GmbH
26,freenet
27,expertum GmbH
28,Rheinhold & Mahla GmbH
29,plusYou GmbH
30,SimpleXX GmbH
31,AERO HighProfessionals GmbH
32,Schleswig-Holstein Netz GmbH
33,FERCHAU GmbH Niederlassung Hamburg-City
34,IABG Industrieanlagen Betriebs-GmbH
35,ORANGE Engineering GmbH & Co. KG
36,"Orizon GmbH, Unit Aviation"
37,Akkodis Germany Tech Experts GmbH
38,Vestas Deutschland GmbH
39,Nexperia Germany GmbH
40,dabit Analytics GmbH
41,Finanz Informatik GmbH & Co. KG
42,Bechtle AG
43,Deutsche Bundesbank Zentrale
44,Constaff GmbH
45,NTT Global Data Centers EMEA GmbH
46,EY GmbH & Co. KG WPG
47,Westhouse Professionals GmbH
48,matchING Engineering GmbH
49,W. Brandenburg GmbH & Co.oHG
50,Deutsche Post AG Zentrale
51,Deutsche Bank AG
52,MAXON Computer GmbH
53,Google Germany GmbH
54,DERTOUR  Deutschland GmbH
55,Deutsche Bundesbank
56,NTT DATA Deutschland SE
57,compeople
58,Alexander Thamm GmbH
59,Infomotion GmbH
60,Checkout Charlie GmbH
61,Die Tech Recruiter GmbH
62,Anders & Ganz GmbH
63,twotickets GmbH
64,inovex GmbH
65,neuraflow GmbH
66,Automation Factory GmbH
67,BridgingIT GmbH
68,Eagleyard Photonics GmbH
69,Siemens AG
70,Da Vinci Engineering GmbH
71,Commerzbank AG
72,ALD Vacuum Technologies  GmbH
73,SMT Service-Medizin-Technik GmbH
74,con terra
75,Dataciders GmbH
76,Robert Koch-Institut
77,Europace Ratenkredit GmbH
78,Schwarz Digits
79,netgo group GmbH
80,engineering people GmbH Berlin
81,Syngenio
82,PRODATO
83,Bundesdruckerei Gruppe GmbH
84,Profi Talent Recruitment UG PTR
85,Deutsche Telekom AG
86,Statista
87,EY Consulting GmbH
88,facilioo - damit Hausverwaltung Spaß macht
89,Franklin Fitch Limited
90,plusYOU GmbH
91,SCHICKLER Unternehmensberatung
92,SIGNAL IDUNA Bauspar AG
93,Wichterich & Partner Gesellschaft für IT-Dienstleistungen mbH
94,PRODYNA
95,Finanz Informatik
96,ADEAL Systems
97,puro Personaldienstleistung GmbH
98,Computacenter AG & Co. oHG
99,nag informatik
100,integration-factory
101,Equinix (Germany) GmbH
102,DZ BANK
103,Bayer AG Pharmaceuticals
104,Parship
105,Bundesverwaltungsamt
106,NETCONOMY
107,Join Solutions GmbH
108,mgm technology partners GmbH
109,IBB Institut für Berufliche Bildung AG
110,MPI für Wiss.geschichte West
111,Delivery Hero SE
112,CHN Energy Europe Research GmbH
113,Actief Personalmanagement GmbH Berlin
114,NECT GmbH
115,NBS Northern Business School gGmbH
116,Qodia
117,TKMS GmbH
118,Agaplesion Management und Beratungsgesellschaft mbH
119,BWI GmbH
120,accadis Hochschule Bad Homburg gGmbH
121,SIEMENS AG
122,Industrie- und Handelskammer zu Berlin
123,Amazon
124,BettercallPaul
125,ALDB GmbH
126,SQLI
127,blackned GmbH
128,Capgemini Deutschland GmbH
129,Jan Schreiner Private Arbeitsvermittlung Arbitex
130,CarByte
131,GSK Stockmann
132,B. Braun
133,Vonovia
134,Amazon Web Services Developmen t Center Germany GmbH
135,Capgemini
136,SCOPE Engineering GmbH
137,DEKRA Arbeit GmbH
138,PPI AG
139,Deutsches                Klima rechenzentrum GmbH
140,ClassiX Software GmbH
141,ERGO
142,workidentity GmbH
143,codecentric
144,Dock 22 GmbH
145,YER
146,adesso
147,Hays Professional Solutions GmbH Standort Frankfurt
148,Yatta
149,Slalom
150,FERCHAU GmbH Niederlassung Frankfurt
151,Vodafone GmbH
152,Advancis Software & Services GmbH
153,equipme GmbH
